text_id,text_name,quote_id,quote,quote_index,quote_entities,speaker,speaker_index,speaker_coref,speaker_entities,verb,verb_index,quote_token_count,quote_type,is_floating_quote
baa36befedafc9d7ade1205838b0fc02,GUAR1,0,“These people are suffering,"(597, 624)",[],Germano,"(627, 634)",,"[('Germano', 'NORP'), ('Germano', 'PERSON'), ('Germano', 'ORG'), ('Germano', 'GPE')]",told,"(635, 639)",5,QCQSV,False
baa36befedafc9d7ade1205838b0fc02,GUAR1,1,"they don’t feel represented by Australia’s 50 farming organisations, which range from regulators and statutory bodies to commodity groups, industry associations and farmers federations","(1111, 1295)","[('Australia', 'GPE')]",farmers,"(1099, 1106)",farmers,[],say,"(1107, 1110)",28,SVC,False
baa36befedafc9d7ade1205838b0fc02,GUAR1,2,farm bodies cannot advocate for farmers while sponsored by corporations and aligned with specific political parties,"(1448, 1563)",[],"Andrew Meseha, whose companies grow hemp in Deniliquin, Shepparton and South Gippsland,","(1355, 1442)",Andrew Meseha,"[('Andrew Meseha', 'PERSON'), ('Deniliquin', 'GPE'), ('Shepparton', 'GPE'), ('South Gippsland', 'GPE')]",says,"(1443, 1447)",17,SVC,False
baa36befedafc9d7ade1205838b0fc02,GUAR1,3,The chemical companies are in every pocket,"(1566, 1608)",[],he,"(1611, 1613)",Andrew Meseha,[],says,"(1614, 1618)",7,QCQSV,False
baa36befedafc9d7ade1205838b0fc02,GUAR1,4,"it has 45,000 supporters and more than 8,400 members","(1931, 1983)",[],decade-old FCA,"(1909, 1923)",FCA,"[('FCA', 'ORG')]",claims,"(1924, 1930)",9,SVC,False
baa36befedafc9d7ade1205838b0fc02,GUAR1,5,It’s a pyramid scheme without the Tupperware,"(2392, 2436)","[('Tupperware', 'ORG')]",she,"(2439, 2442)",Germano,[],says,"(2443, 2447)",8,QCQSV,False
baa36befedafc9d7ade1205838b0fc02,GUAR1,6,the structure of agricultural organisations has been “a topic of discussion for decades” and should continue to be so “to make sure we have the best system to ensure agriculture and farmers are heard”,"(2535, 2735)",[],"The NFF president, David Jochinke, who was previously the president of the VFF,","(2450, 2529)",David Jochinke,"[('VFF', 'ORG'), ('Jochinke', 'PERSON'), ('David Jochinke', 'PERSON'), ('NFF', 'ORG')]",says,"(2530, 2534)",38,SVC,False
baa36befedafc9d7ade1205838b0fc02,GUAR1,7,"“We recognise that the agricultural landscape is changing, and with it the expectations of how peak bodies engage, advocate and represent grassroots voices","(2738, 2893)",[],he,"(2896, 2898)",David Jochinke,[],says,"(2899, 2903)",26,QCQSV,False
baa36befedafc9d7ade1205838b0fc02,GUAR1,8,But first-generation farmers are increasingly looking to “collective action solutions that peak bodies could embrace”,"(3817, 3934)",[],horticulturist and “agvocate” Lisa Brassington,"(3941, 3987)","horticulturist,Lisa Brassington","[('Brassington', 'GPE'), ('Brassington', 'PERSON'), ('Lisa Brassington', 'PERSON')]",says,"(3936, 3940)",19,CVS,False
baa36befedafc9d7ade1205838b0fc02,GUAR1,9,These bodies could “depoliticise the messages and reach out to the commons,"(3990, 4064)",[],she,"(4067, 4070)",horticulturist,[],says,"(4071, 4075)",13,CSV,False
baa36befedafc9d7ade1205838b0fc02,GUAR1,10,"fire and flood relief donors are largely “from urban and township postcodes”, showing broad solidarity and goodwill","(4247, 4362)",[],Brassington,"(4230, 4241)",Lisa Brassington,"[('Brassington', 'GPE'), ('Brassington', 'PERSON')]",says,"(4242, 4246)",20,SVC,False
baa36befedafc9d7ade1205838b0fc02,GUAR1,11,“Natural and financial crises create a loss of autonomy” for farmers and peak bodies “have a time-sensitive role” to support “collective interests”,"(4364, 4511)",[],she,"(4513, 4516)",Lisa Brassington,[],says,"(4517, 4521)",30,CSV,False
baa36befedafc9d7ade1205838b0fc02,GUAR1,12,But many influencers reiterate divisive messaging and can’t effectively advocate because they don’t have the established bodies’ governance structures and transparency obligations,"(4719, 4898)",[],Brassington,"(4905, 4916)",,"[('Brassington', 'GPE'), ('Brassington', 'PERSON')]",says,"(4900, 4904)",25,CVS,False
baa36befedafc9d7ade1205838b0fc02,GUAR1,13,"“Peak state organisations mirror National party branches from long ago, when they served men from the landed gentry","(5437, 5552)","[('Peak', 'LOC')]",she,"(5555, 5558)",Germano,[],says,"(5559, 5563)",20,QCQSV,False
baa36befedafc9d7ade1205838b0fc02,GUAR1,14,"A third of Australia’s farmers are now women, yet women “can’t step outside the status quo” inside federations","(5566, 5676)","[('Australia', 'GPE')]",she,"(5678, 5681)",Australia,[],says,"(5682, 5686)",23,CSV,False
baa36befedafc9d7ade1205838b0fc02,GUAR1,15,"the NFF’s national advocacy model is “proudly member-driven and we are actively working with our member organisations to shape a modernised, effective approach”","(5736, 5896)","[('NFF', 'ORG')]",Jochinke,"(5722, 5730)",Jochinke,"[('Jochinke', 'PERSON')]",says,"(5731, 5735)",29,SVC,False
baa36befedafc9d7ade1205838b0fc02,GUAR1,16,“The live sheep ban was advocated most strongly by meatworkers unions who wanted meat locally processed,"(6277, 6380)",[],she,"(6383, 6386)",Jochinke,[],says,"(6387, 6391)",17,QCQSV,False
baa36befedafc9d7ade1205838b0fc02,GUAR1,17,"To advocate effectively, farm bodies need “better governance, independence and listening – discipline, culture, restructure”","(6506, 6630)",[],Germano,"(6637, 6644)",,"[('Germano', 'NORP'), ('Germano', 'PERSON'), ('Germano', 'ORG'), ('Germano', 'GPE')]",says,"(6632, 6636)",21,CVS,False
baa36befedafc9d7ade1205838b0fc02,GUAR1,18,the NFF “reject the notion that peak bodies prioritise agribusiness over grassroots concerns”,"(6799, 6892)","[('NFF', 'ORG')]",Jochinke,"(6785, 6793)",,"[('Jochinke', 'PERSON')]",says,"(6794, 6798)",15,SVC,False
b96940f0dca170aa3226869dbe555704,CANB1,0,"But these gains are not equally shared,","(328, 367)",[],research from the Daffodil Centre.,"(381, 415)",,"[('Daffodil Centre', 'ORG'), ('the Daffodil Centre', 'ORG')]",according to,"(368, 380)",8,AccordingTo,False
b96940f0dca170aa3226869dbe555704,CANB1,1,"""There's a really big equity gap that demands urgent attention","(645, 707)",[],""" author and Daffodil Centre research stream lead Julia Steinberg","(708, 773)",,"[('Daffodil Centre', 'ORG'), ('Julia Steinberg', 'PERSON'), ('Steinberg', 'PERSON')]",told,"(774, 778)",12,QCQSV,False
b96940f0dca170aa3226869dbe555704,CANB1,2,"While the gaps were driven by a number of factors, early detection played a key role","(1006, 1090)",[],Associate Professor Steinberg,"(1092, 1121)",,"[('Steinberg', 'PERSON')]",said,"(1122, 1126)",17,CSV,False
